Timestamp,Yoshingiz / Возраст:,Jinsingiz / Пол:,Yashash hududingiz / Район проживания:,Siyosiy qarashlaringiz / Ваши политические взгляды:,Kasbingiz yoki O'qish sohangiz (yo'nalishingiz) / Ваша профессия или область (cпециальность) обучения:,Eng yuqori olgan (yokida hozir olayotgan) ilmiy darajangiz / Самая высокая полученная (или же получаемая) вами учёная степень:,Oylik daromadingiz (ixtiyoriy) / Ваш ежемесячный доход (необязательно):,Ijtimoiy tarmoqlardagi faolligizni baholang / Оцените свою активность в социальных сетях:,Qanday hududda yashaysiz / В каком районе вы живете:,"O‘zingizni shaxsiyat jihatidan qanday tasvirlaysiz? 
Introvert - yolg‘izlikni afzal ko‘radi, odamlar bilan ko‘p muloqot qilmaydi, mustaqil ishlashni yoqtiradi.
Ekstrovert - ko‘p odamlar bilan suhbatni yoqtiradi, jamoada bo‘lishdan quvvat oladi.
Ambivert - ikkalasidan ham xususiyatlar bor, ba'zida ijtimoiy, ba'zida sokin
/ Как бы вы описали себя с точки зрения личности?
Интроверт - предпочитает одиночество, избегает больших групп, любит работать в одиночку)
Экстраверт - любит общаться, получает энергию от взаимодействия с другими
Амбиверт - сбалансированная личность, иногда общителен, иногда замкнут","Keyingi bo'limda siz uchun savollar taqdim etiladi. Sizdan so'raladigan yagona narsa ularga vijdonan javob berish. Anonimlik ta'minlangan!

В следующем разделе вы найдёте вопросы. От вас требуется только честно на них ответить. Анонимность гарантируется!","Har bir inson kundalik hayotida chiqindilarni kamaytirish, qayta ishlash va resurslarni tejash orqali atrof-muhitni asrashga bevosita javobgar bo‘lishi kerak. 

Каждый человек должен нести прямую ответственность за защиту окружающей среды путем сокращения отходов, переработки отходов и сохранения ресурсов в своей повседневной жизни.","Bolalar o‘rganish, texnologiyalardan foydalanish va dars tayyorlash kabi faoliyatlar uchun ko‘proq vaqtni uyida, ekran oldida o‘tkazishi zarur. Tashqi muhitda kamroq vaqt sarflashi lozim. 

Детям необходимо проводить больше времени дома перед экранами, занимаясь такими видами деятельности, как учёба, использование технологий и подготовка к урокам. Им следует меньше времени проводить на улице","Ijtimoiy tarmoqlar shaxsiy hayotni oshkora qilishi, yolg‘on ma’lumotlar tarqalishi va ruhiy salomatlikka ta’siri sababli jamiyatga foydadan ko‘ra zarar ko‘proq yetkazadi.

Социальные сети приносят обществу больше вреда, чем пользы, поскольку они выставляют напоказ личную жизнь, распространяют ложную информацию и оказывают влияние на психическое здоровье","Ayol sportchilarning maoshi sport sohasidagi mehnati, darajasi va natijalari bir xil bolgan erkaklarning maoshiga teng bo'lishi kerak (ya'ni, ayol va erkak sportchilarga teng mehnat haqqi to'lanishi lozim).

Заработная плата женщин-спортсменок должна быть равна заработной плате мужчин с таким же уровнем работы, уровнем и результатами в спорте (т.е. спортсмены и спортсмены-мужчины должны получать одинаковую сумму денег)","Qiz farzand 19 yoshga yetganida turmush qurishga tayyor bo‘ladi. 
Девушка готова выйти замуж, когда ей исполняется 19 лет."
7/17/2025 22:36:37,18,Male,Fergana,Liberal,Talaba,School,0,3,Near the city,Ambivert,Tushunarli,Agree,Disagree,Agree,Disagree,Disagree
7/17/2025 22:40:35,20,Male,Fergana,Liberal,Xalqaro munosabatlar,School,0,3,City,Ambivert,Tushunarli,Agree,Disagree,Agree,Neutral,Disagree
7/17/2025 22:44:04,17,Male,Tashkent City,Neutral,Engineering,School,0,3,City,Ambivert,Tushunarli,Agree,Disagree,Neutral,Neutral,Neutral
7/17/2025 22:45:23,17,Male,Bukhara,Neutral,Jahon Economicsi,School,0,4,Near the city,Ambivert,Tushunarli,Agree,Disagree,Agree,Neutral,Disagree
7/17/2025 22:50:56,17,Male,Fergana,Liberal,IT,School,0,4,City,Introvert,Tushunarli,Agree,Agree,Disagree,Disagree,Disagree
7/17/2025 22:54:57,21,Female,Tashkent Region,Neutral,IT,Bachelor's degree  , 100-300,3,City,Ambivert,Tushunarli / Понятно,Agree,Disagree,Agree,Agree,Disagree
7/17/2025 22:57:52,46,Female,Tashkent Region,Liberal,Economics,Doctoral degree / PhD, 300-700,1,City,Ambivert,Tushunarli / Понятно,Agree,Disagree,Agree,Agree,Disagree
7/17/2025 23:04:23,18,Male,Fergana,Neutral,Economics,School,0,3,City,Introvert,Tushunarli / Понятно,Neutral,Neutral,Agree,Agree,Neutral
7/17/2025 23:12:26,18,Male,Tashkent City,Conservative,Public (Health) Policy,Bachelor's degree  ,0,4,Near the city,Ambivert,Tushunarli / Понятно,Agree,Disagree,Agree,Agree,Agree
7/17/2025 23:13:48,18,Female,Khorezm,Liberal,Yurisprudensiya,School,0,4,City,Ambivert,Tushunarli / Понятно,Agree,Disagree,Neutral,Agree,Disagree
7/17/2025 23:16:18,17,Male,Khorezm,Liberal,Engineering ,School,0,3,Remote area,Ambivert,Tushunarli / Понятно,Agree,Disagree,Neutral,Disagree,Neutral
7/17/2025 23:18:55,17,Male,Khorezm,Neutral,Economics va moliya,School,0,1,Remote area,Ambivert,Tushunarli / Понятно,Agree,Disagree,Agree,Neutral,Agree
7/17/2025 23:32:20,17,Female,Republic of Karakalpakstan,Neutral,Engineering,School,0,3,Near the city,Ambivert,Tushunarli / Понятно,Agree,Disagree,Disagree,Agree,Agree
7/17/2025 23:32:23,19,Female,Republic of Karakalpakstan,Liberal,New Uzbekistan University ,Bachelor's degree  ,0,3,City,Ambivert,Tushunarli / Понятно,Agree,Disagree,Neutral,Agree,Neutral
7/17/2025 23:37:46,18,Female,Tashkent City,Neutral,IT,College / Lyceum,0,1,City,Ambivert,Tushunarli / Понятно,Agree,Neutral,Agree,Agree,Disagree
7/17/2025 23:37:47,16,Female,Tashkent City,Neutral,Oquvchi,School,0,4,City,Ambivert,Tushunarli / Понятно,Agree,Neutral,Neutral,Agree,Disagree
